"ano";"categoria";"frequencia";"vl_remun_dezembro_nom";"is_total";"periodo_metodologico";"cnae_subclasse";"remuneracao_media_nominal"
2021;"Total";12444;39232673,2599999;TRUE;"2006-2021";"2452";3152,73812761169
2021;"11 - Rondônia";9;14933,6300000008;FALSE;"2006-2021";"2452";1659,29222222231
2021;"12 - Acre";0;0;FALSE;"2006-2021";"2452";NA
2021;"13 - Amazonas";435;1639974,87000003;FALSE;"2006-2021";"2452";3770,05717241386
2021;"15 - Pará";6;4495,45999999903;FALSE;"2006-2021";"2452";749,243333333172
2021;"17 - Tocantins";0;0;FALSE;"2006-2021";"2452";NA
2021;"21 - Maranhão";30;42259,5800000038;FALSE;"2006-2021";"2452";1408,65266666679
2021;"22 - Piauí";8;12796;FALSE;"2006-2021";"2452";1599,5
2021;"23 - Ceará";107;147580,03;FALSE;"2006-2021";"2452";1379,25261682243
2021;"24 - Rio Grande do Norte";0;0;FALSE;"2006-2021";"2452";NA
2021;"25 - Paraíba";8;8646,19000000041;FALSE;"2006-2021";"2452";1080,77375000005
2021;"26 - Pernambuco";33;57582,4299999997;FALSE;"2006-2021";"2452";1744,92212121211
2021;"27 - Alagoas";2;1140;FALSE;"2006-2021";"2452";570
2021;"28 - Sergipe";7;11321,6000000015;FALSE;"2006-2021";"2452";1617,37142857164
2021;"29 - Bahia";23;32920,8100000005;FALSE;"2006-2021";"2452";1431,33956521741
2021;"31 - Minas Gerais";3110;10566505,5599999;FALSE;"2006-2021";"2452";3397,59021221862
2021;"32 - Espírito Santo";26;51370,25;FALSE;"2006-2021";"2452";1975,77884615385
2021;"33 - Rio de Janeiro";410;1043890,86999995;FALSE;"2006-2021";"2452";2546,0752926828
2021;"35 - São Paulo";5843;18968345,4199999;FALSE;"2006-2021";"2452";3246,33671401676
2021;"41 - Paraná";899;2371481,68999994;FALSE;"2006-2021";"2452";2637,91066740816
2021;"42 - Santa Catarina";775;2072672,76000007;FALSE;"2006-2021";"2452";2674,41646451622
2021;"43 - Rio Grande do Sul";517;1606957,07000005;FALSE;"2006-2021";"2452";3108,23417794981
2021;"50 - Mato Grosso do Sul";45;149045,040000008;FALSE;"2006-2021";"2452";3312,11200000018
2021;"51 - Mato Grosso";1;1212;FALSE;"2006-2021";"2452";1212
2021;"52 - Goiás";135;396101,450000027;FALSE;"2006-2021";"2452";2934,08481481501
2021;"53 - Distrito Federal";15;31440,5500000049;FALSE;"2006-2021";"2452";2096,03666666699
2020;"Total";11238;30691477,0600001;TRUE;"2006-2021";"2452";2731,04440825771
2020;"11 - Rondônia";22;42644,0500000012;FALSE;"2006-2021";"2452";1938,36590909096
2020;"12 - Acre";0;0;FALSE;"2006-2021";"2452";NA
2020;"13 - Amazonas";453;1727699,14999994;FALSE;"2006-2021";"2452";3813,90540838839
2020;"15 - Pará";7;4991,60000000149;FALSE;"2006-2021";"2452";713,085714285927
2020;"17 - Tocantins";0;0;FALSE;"2006-2021";"2452";NA
2020;"21 - Maranhão";37;37476,9499999946;FALSE;"2006-2021";"2452";1012,89054054039
2020;"22 - Piauí";7;10049,4000000004;FALSE;"2006-2021";"2452";1435,62857142863
2020;"23 - Ceará";108;126423,659999995;FALSE;"2006-2021";"2452";1170,5894444444
2020;"24 - Rio Grande do Norte";1;1200;FALSE;"2006-2021";"2452";1200
2020;"25 - Paraíba";9;7658,1799999997;FALSE;"2006-2021";"2452";850,908888888856
2020;"26 - Pernambuco";18;22141,8700000024;FALSE;"2006-2021";"2452";1230,10388888902
2020;"27 - Alagoas";14;0;FALSE;"2006-2021";"2452";0
2020;"28 - Sergipe";8;2936;FALSE;"2006-2021";"2452";367
2020;"29 - Bahia";18;25385,2500000019;FALSE;"2006-2021";"2452";1410,29166666677
2020;"31 - Minas Gerais";2099;6494027,51;FALSE;"2006-2021";"2452";3093,86732253454
2020;"32 - Espírito Santo";24;36910,4800000004;FALSE;"2006-2021";"2452";1537,93666666668
2020;"33 - Rio de Janeiro";378;1011511,72000002;FALSE;"2006-2021";"2452";2675,95693121698
2020;"35 - São Paulo";5454;14824916,7700001;FALSE;"2006-2021";"2452";2718,17322515587
2020;"41 - Paraná";1019;2514928,24000003;FALSE;"2006-2021";"2452";2468,03556427873
2020;"42 - Santa Catarina";874;1970215,32999994;FALSE;"2006-2021";"2452";2254,25094965668
2020;"43 - Rio Grande do Sul";501;1391069,96000004;FALSE;"2006-2021";"2452";2776,58674650707
2020;"50 - Mato Grosso do Sul";27;56690,2200000063;FALSE;"2006-2021";"2452";2099,63777777801
2020;"51 - Mato Grosso";15;19594,6199999936;FALSE;"2006-2021";"2452";1306,30799999957
2020;"52 - Goiás";132;340156,89999998;FALSE;"2006-2021";"2452";2576,94621212106
2020;"53 - Distrito Federal";13;22849,200000002;FALSE;"2006-2021";"2452";1757,63076923092
2019;"Total";11331;31719313,5100006;TRUE;"2006-2021";"2452";2799,33929132474
2019;"11 - Rondônia";25;47834,1699999981;FALSE;"2006-2021";"2452";1913,36679999992
2019;"12 - Acre";0;0;FALSE;"2006-2021";"2452";NA
2019;"13 - Amazonas";530;1767841,09;FALSE;"2006-2021";"2452";3335,54922641509
2019;"15 - Pará";7;8758,70999999717;FALSE;"2006-2021";"2452";1251,24428571388
2019;"17 - Tocantins";0;0;FALSE;"2006-2021";"2452";NA
2019;"21 - Maranhão";37;49029,8799999976;FALSE;"2006-2021";"2452";1325,13189189183
2019;"22 - Piauí";6;7585;FALSE;"2006-2021";"2452";1264,16666666667
2019;"23 - Ceará";55;69766,5799999963;FALSE;"2006-2021";"2452";1268,48327272721
2019;"24 - Rio Grande do Norte";10;15650,540000001;FALSE;"2006-2021";"2452";1565,0540000001
2019;"25 - Paraíba";7;7737,65000000037;FALSE;"2006-2021";"2452";1105,37857142862
2019;"26 - Pernambuco";0;0;FALSE;"2006-2021";"2452";NA
2019;"27 - Alagoas";13;0;FALSE;"2006-2021";"2452";0
2019;"28 - Sergipe";10;13090,29;FALSE;"2006-2021";"2452";1309,029
2019;"29 - Bahia";22;34115,1100000069;FALSE;"2006-2021";"2452";1550,68681818213
2019;"31 - Minas Gerais";2335;8374567,99000025;FALSE;"2006-2021";"2452";3586,53875374743
2019;"32 - Espírito Santo";29;45256,1200000048;FALSE;"2006-2021";"2452";1560,55586206913
2019;"33 - Rio de Janeiro";417;899834,91;FALSE;"2006-2021";"2452";2157,87748201439
2019;"35 - São Paulo";5348;14454978,9100003;FALSE;"2006-2021";"2452";2702,8756376216
2019;"41 - Paraná";959;2546176,54000002;FALSE;"2006-2021";"2452";2655,03288842546
2019;"42 - Santa Catarina";806;1751512,64000003;FALSE;"2006-2021";"2452";2173,09260545909
2019;"43 - Rio Grande do Sul";528;1152375,48000001;FALSE;"2006-2021";"2452";2182,52931818184
2019;"50 - Mato Grosso do Sul";31;87923,1699999925;FALSE;"2006-2021";"2452";2836,23129032234
2019;"51 - Mato Grosso";2;1996;FALSE;"2006-2021";"2452";998
2019;"52 - Goiás";135;354483,899999987;FALSE;"2006-2021";"2452";2625,80666666657
