"Ano";"UF";"Porte";"Instrumento";"tipo_operacao";"cnae_subclasse";"Valor_Contratado";"Valor_Desembolsado"
2026;" CE";"PEQUENA";"LINHA CRÉDITO PEQUENAS E MÉDIAS EMPRESAS";"Automáticas (Indiretas)";"2451";110000;0
2026;" MG";"MÉDIA";"MATERIAIS INDUSTRIALIZADOS";"Automáticas (Indiretas)";"2451";5870000;0
2026;" PE";"PEQUENA";"LINHA CRÉDITO PEQUENAS E MÉDIAS EMPRESAS";"Automáticas (Indiretas)";"2451";230000;0
2026;" SC";"MÉDIA";"BK AQUISIÇÃO E COMERCIALIZAÇÃO - DEMAIS";"Automáticas (Indiretas)";"2451";4647500;0
2026;" SC";"MÉDIA";"MATERIAIS INDUSTRIALIZADOS";"Automáticas (Indiretas)";"2451";5637939;0
2026;" SC";"MÉDIA";"PROGRAMA BNDES MAIS INOVAÇÃO";"Automáticas (Indiretas)";"2451";2814588;0
2026;" SP";"MÉDIA";"PROGRAMA BNDES MAIS INOVAÇÃO";"Automáticas (Indiretas)";"2451";1330702;0
2025;" CE";"PEQUENA";"LINHA CRÉDITO PEQUENAS E MÉDIAS EMPRESAS";"Automáticas (Indiretas)";"2451";400000;400000
2025;" MG";"GRANDE";"PROGRAMA BNDES BRASIL SOBERANO";"Automáticas (Indiretas)";"2451";70000000;70000000
2025;" MG";"MÉDIA";"BK AQUISIÇÃO E COMERCIALIZAÇÃO - DEMAIS";"Automáticas (Indiretas)";"2451";1450000;1450000
2025;" MG";"MÉDIA";"MATERIAIS INDUSTRIALIZADOS";"Automáticas (Indiretas)";"2451";5150000;2200000
2025;" RJ";"MÉDIA";"MATERIAIS INDUSTRIALIZADOS";"Automáticas (Indiretas)";"2451";1800000;1800000
2025;" RS";"GRANDE";"MATERIAIS INDUSTRIALIZADOS";"Automáticas (Indiretas)";"2451";5000000;5000000
2025;" SC";"MÉDIA";"BK AQUISIÇÃO E COMERCIALIZAÇÃO - DEMAIS";"Automáticas (Indiretas)";"2451";2790484;2790484
2025;" SC";"MÉDIA";"MATERIAIS INDUSTRIALIZADOS";"Automáticas (Indiretas)";"2451";3761500;3761500
2025;" SC";"MÉDIA";"PROGRAMA BNDES BRASIL SOBERANO";"Automáticas (Indiretas)";"2451";2000000;2000000
2025;" SP";"GRANDE";"PROGRAMA BNDES BRASIL SOBERANO";"Automáticas (Indiretas)";"2451";60000000;60000000
2025;" SP";"MÉDIA";"BK AQUISIÇÃO E COMERCIALIZAÇÃO - DEMAIS";"Automáticas (Indiretas)";"2451";370570;0
2025;" SP";"MÉDIA";"MATERIAIS INDUSTRIALIZADOS";"Automáticas (Indiretas)";"2451";1117000;600000
2025;" SP";"MÉDIA";"PROGRAMA BNDES BRASIL SOBERANO";"Automáticas (Indiretas)";"2451";25000000;25000000
2025;" SP";"PEQUENA";"BK AQUISIÇÃO E COMERCIALIZAÇÃO  ÔNIBUS E CAMINHÃO";"Automáticas (Indiretas)";"2451";190000;190000
2024;" MG";"MÉDIA";"BK AQUISIÇÃO E COMERCIALIZAÇÃO - DEMAIS";"Automáticas (Indiretas)";"2451";12410000;11195000
2024;" PR";"PEQUENA";"MATERIAIS INDUSTRIALIZADOS";"Automáticas (Indiretas)";"2451";450000;419631
