"ano";"categoria";"frequencia";"is_total";"periodo_metodologico";"cnae_subclasse"
2021;"Total";12444;TRUE;"2006-2021";"2452"
2021;"GESTORES PUBLICOS";0;FALSE;"2006-2021";"2452"
2021;"DIRETORES GERAIS";6;FALSE;"2006-2021";"2452"
2021;"DIRETORES DE PRODUCAO E OPERACOES EM EMPRESA DA INDUSTRIA EXTRATIVA, TRANSFORMACAO E DE SERVICOS DE UTILIDADE PUBLICA";0;FALSE;"2006-2021";"2452"
2021;"DIRETORES ADMINISTRATIVOS E FINANCEIROS";5;FALSE;"2006-2021";"2452"
2021;"DIRETORES DE RH E RELACOES DE TRABALHO";0;FALSE;"2006-2021";"2452"
2021;"DIRETORES DE MARKETING, COMERCIALIZACAO E VENDAS";3;FALSE;"2006-2021";"2452"
2021;"DIRETORES DE SUPRIMENTOS E AFINS";1;FALSE;"2006-2021";"2452"
2021;"DIRETORES DE PESQUISA E DESENVOLVIMENTO";0;FALSE;"2006-2021";"2452"
2021;"DIRETORES E GERENTES DE SERVICOS PESSOAIS, SOCIAIS E CULTURAIS";1;FALSE;"2006-2021";"2452"
2021;"DIRETORES E GERENTES DE OPERACOES EM EMPRESA DE SERVICOS DE SAUDE";1;FALSE;"2006-2021";"2452"
2021;"GERENTES DE PRODUCAO E OPERACOES EM EMPRESA DA INDUSTRIA EXTRATIVA, DE TRANSFORMACAO E DE SERVICOS DE UTILIDADE PUBLICA";85;FALSE;"2006-2021";"2452"
2021;"GERENTES DE OPERACOES COMERCIAIS E DE REPARACAO";13;FALSE;"2006-2021";"2452"
2021;"GERENTES DE OPERACOES DE TURISMO, ALOJAMENTO E ALIMENTACAO";1;FALSE;"2006-2021";"2452"
2021;"GERENTES DE OPERACOES DE SERVICOS EM EMPRESA DE TRANSPORTE, DE COMUNICACAO E DE LOGISTICA (ARMAZENAGEM E DISTRIBUICAO)";6;FALSE;"2006-2021";"2452"
2021;"GERENTES DE OPERACOES DE SERVICOS EM INSTITUICAO DE INTERMEDIACAO FINANCEIRA";1;FALSE;"2006-2021";"2452"
2021;"GERENTES ADMINISTRATIVOS, FINANCEIROS E DE RISCOS";58;FALSE;"2006-2021";"2452"
2021;"GERENTES DE RH E RELACOES DO TRABALHO";11;FALSE;"2006-2021";"2452"
2021;"GERENTES DE MARKETING, COMERCIALIZACAO E VENDAS";43;FALSE;"2006-2021";"2452"
2021;"GERENTES DE SUPRIMENTOS E AFINS";12;FALSE;"2006-2021";"2452"
2021;"GERENTES DE TECNOLOGIA DA INFORMACAO";2;FALSE;"2006-2021";"2452"
2021;"GERENTES DE PESQUISA E DESENVOLVIMENTO";7;FALSE;"2006-2021";"2452"
2021;"GERENTES DE MANUTENCAO";11;FALSE;"2006-2021";"2452"
2021;"PROFISSIONAIS DA METROLOGIA";1;FALSE;"2006-2021";"2452"
2021;"ENGENHEIROS MECATRONICOS";1;FALSE;"2006-2021";"2452"
2021;"PESQUISADORES DE ENGENHARIA E TECNOLOGIA";2;FALSE;"2006-2021";"2452"
2021;"PROFISSIONAIS DA MATEMATICA";0;FALSE;"2006-2021";"2452"
