"Ano";"UF";"Estabelecimentos";"Vinculos"
2016;"43 - Rio Grande do Sul";27;3229
2016;"50 - Mato Grosso do Sul";1;91
2016;"52 - Goiás";1;48
2016;"Total";207;36049
2017;"13 - Amazonas";0;0
2017;"23 - Ceará";1;61
2017;"26 - Pernambuco";1;267
2017;"27 - Alagoas";2;73
2017;"28 - Sergipe";0;0
2017;"31 - Minas Gerais";64;9510
2017;"32 - Espírito Santo";1;44
2017;"33 - Rio de Janeiro";3;192
2017;"35 - São Paulo";65;7631
2017;"41 - Paraná";10;794
2017;"42 - Santa Catarina";32;13644
2017;"43 - Rio Grande do Sul";27;3628
2017;"52 - Goiás";1;43
2017;"Total";207;35887
2018;"13 - Amazonas";0;0
2018;"23 - Ceará";1;92
2018;"26 - Pernambuco";1;278
2018;"27 - Alagoas";1;34
2018;"31 - Minas Gerais";64;9696
2018;"32 - Espírito Santo";1;67
2018;"33 - Rio de Janeiro";3;190
2018;"35 - São Paulo";69;7915
2018;"41 - Paraná";11;1000
2018;"42 - Santa Catarina";34;17402
2018;"43 - Rio Grande do Sul";26;3760
2018;"52 - Goiás";1;40
2018;"Total";212;40474
2019;"13 - Amazonas";0;0
2019;"23 - Ceará";2;405
2019;"26 - Pernambuco";1;184
2019;"27 - Alagoas";1;33
2019;"31 - Minas Gerais";61;9276
2019;"32 - Espírito Santo";1;55
2019;"33 - Rio de Janeiro";3;213
2019;"35 - São Paulo";68;7377
2019;"41 - Paraná";12;1030
2019;"42 - Santa Catarina";30;14446
2019;"43 - Rio Grande do Sul";25;3640
2019;"50 - Mato Grosso do Sul";0;0
2019;"52 - Goiás";0;0
2019;"Total";204;36659
2020;"13 - Amazonas";0;0
2020;"23 - Ceará";2;318
2020;"26 - Pernambuco";1;117
2020;"27 - Alagoas";1;36
2020;"31 - Minas Gerais";58;10275
2020;"32 - Espírito Santo";1;45
2020;"33 - Rio de Janeiro";5;266
2020;"35 - São Paulo";63;7332
2020;"41 - Paraná";15;1356
2020;"42 - Santa Catarina";30;14096
2020;"43 - Rio Grande do Sul";23;3746
2020;"52 - Goiás";0;0
2020;"Total";199;37587
2021;"13 - Amazonas";0;0
2021;"23 - Ceará";1;315
2021;"26 - Pernambuco";1;129
2021;"27 - Alagoas";1;35
2021;"31 - Minas Gerais";56;10954
2021;"32 - Espírito Santo";1;61
2021;"33 - Rio de Janeiro";4;259
2021;"35 - São Paulo";68;8386
2021;"41 - Paraná";16;1775
2021;"42 - Santa Catarina";32;16242
2021;"43 - Rio Grande do Sul";22;4544
2021;"50 - Mato Grosso do Sul";0;0
2021;"52 - Goiás";0;0
2021;"Total";202;42700
2022;"13 - Amazonas";0;0
2022;"23 - Ceará";1;318
2022;"26 - Pernambuco";1;122
2022;"27 - Alagoas";1;49
2022;"31 - Minas Gerais";59;11384
2022;"32 - Espírito Santo";1;60
2022;"33 - Rio de Janeiro";5;273
2022;"35 - São Paulo";71;8735
2022;"41 - Paraná";14;1899
2022;"42 - Santa Catarina";33;16435
2022;"43 - Rio Grande do Sul";20;4635
2022;"50 - Mato Grosso do Sul";0;0
2022;"52 - Goiás";0;0
2022;"Total";206;43910
2023;"13 - Amazonas";0;0
2023;"23 - Ceará";1;245
2023;"27 - Alagoas";1;51
2023;"29 - Bahia";1;34
2023;"31 - Minas Gerais";58;10262
2023;"32 - Espírito Santo";1;64
2023;"33 - Rio de Janeiro";4;242
2023;"35 - São Paulo";68;8039
2023;"41 - Paraná";12;1454
2023;"42 - Santa Catarina";31;16109
2023;"43 - Rio Grande do Sul";20;4137
2023;"52 - Goiás";0;0
2023;"Total";197;40637
2024;"13 - Amazonas";0;0
2024;"21 - Maranhão";1;46
2024;"23 - Ceará";1;204
2024;"26 - Pernambuco";1;30
2024;"27 - Alagoas";1;35
2024;"29 - Bahia";1;37
2024;"31 - Minas Gerais";60;10226
2024;"32 - Espírito Santo";1;67
2024;"33 - Rio de Janeiro";4;246
2024;"35 - São Paulo";69;8391
2024;"41 - Paraná";14;1725
2024;"42 - Santa Catarina";33;15562
2024;"43 - Rio Grande do Sul";20;4009
2024;"52 - Goiás";0;0
2024;"Total";206;40578
2025;"13 - Amazonas";0;0
2025;"23 - Ceará";1;222
2025;"26 - Pernambuco";0;0
2025;"27 - Alagoas";1;41
2025;"29 - Bahia";1;33
2025;"31 - Minas Gerais";55;9258
2025;"32 - Espírito Santo";1;77
2025;"33 - Rio de Janeiro";5;264
2025;"35 - São Paulo";68;8143
2025;"41 - Paraná";17;2021
2025;"42 - Santa Catarina";33;14976
2025;"43 - Rio Grande do Sul";20;4064
2025;"52 - Goiás";0;0
2025;"Total";202;39099
