"ano";"categoria";"frequencia";"is_total";"periodo_metodologico";"cnae_subclasse"
2021;"Total";46364;TRUE;"2006-2021";"2451"
2021;"Analfabeto";132;FALSE;"2006-2021";"2451"
2021;"Até 5ª Incompleto";1581;FALSE;"2006-2021";"2451"
2021;"5ª Completo Fundamental";1605;FALSE;"2006-2021";"2451"
2021;"6ª a 9ª Fundamental";3743;FALSE;"2006-2021";"2451"
2021;"Fundamental Completo";8013;FALSE;"2006-2021";"2451"
2021;"Médio Incompleto";4767;FALSE;"2006-2021";"2451"
2021;"Médio Completo";21740;FALSE;"2006-2021";"2451"
2021;"Superior Incompleto";1135;FALSE;"2006-2021";"2451"
2021;"Superior Completo";3648;FALSE;"2006-2021";"2451"
2020;"Total";41051;TRUE;"2006-2021";"2451"
2020;"Analfabeto";120;FALSE;"2006-2021";"2451"
2020;"Até 5ª Incompleto";1477;FALSE;"2006-2021";"2451"
2020;"5ª Completo Fundamental";1549;FALSE;"2006-2021";"2451"
2020;"6ª a 9ª Fundamental";3451;FALSE;"2006-2021";"2451"
2020;"Fundamental Completo";7712;FALSE;"2006-2021";"2451"
2020;"Médio Incompleto";3698;FALSE;"2006-2021";"2451"
2020;"Médio Completo";18521;FALSE;"2006-2021";"2451"
2020;"Superior Incompleto";1064;FALSE;"2006-2021";"2451"
2020;"Superior Completo";3459;FALSE;"2006-2021";"2451"
2019;"Total";40097;TRUE;"2006-2021";"2451"
2019;"Analfabeto";111;FALSE;"2006-2021";"2451"
2019;"Até 5ª Incompleto";1439;FALSE;"2006-2021";"2451"
2019;"5ª Completo Fundamental";1610;FALSE;"2006-2021";"2451"
2019;"6ª a 9ª Fundamental";3382;FALSE;"2006-2021";"2451"
2019;"Fundamental Completo";7816;FALSE;"2006-2021";"2451"
2019;"Médio Incompleto";3568;FALSE;"2006-2021";"2451"
2019;"Médio Completo";17653;FALSE;"2006-2021";"2451"
2019;"Superior Incompleto";1054;FALSE;"2006-2021";"2451"
2019;"Superior Completo";3464;FALSE;"2006-2021";"2451"
2018;"Total";44365;TRUE;"2006-2021";"2451"
2018;"Analfabeto";75;FALSE;"2006-2021";"2451"
2018;"Até 5ª Incompleto";1392;FALSE;"2006-2021";"2451"
2018;"5ª Completo Fundamental";1625;FALSE;"2006-2021";"2451"
2018;"6ª a 9ª Fundamental";3467;FALSE;"2006-2021";"2451"
2018;"Fundamental Completo";7917;FALSE;"2006-2021";"2451"
2018;"Médio Incompleto";3412;FALSE;"2006-2021";"2451"
2018;"Médio Completo";18245;FALSE;"2006-2021";"2451"
2018;"Superior Incompleto";1233;FALSE;"2006-2021";"2451"
2018;"Superior Completo";6999;FALSE;"2006-2021";"2451"
2017;"Total";40151;TRUE;"2006-2021";"2451"
2017;"Analfabeto";76;FALSE;"2006-2021";"2451"
2017;"Até 5ª Incompleto";1319;FALSE;"2006-2021";"2451"
2017;"5ª Completo Fundamental";1629;FALSE;"2006-2021";"2451"
2017;"6ª a 9ª Fundamental";3262;FALSE;"2006-2021";"2451"
2017;"Fundamental Completo";8023;FALSE;"2006-2021";"2451"
2017;"Médio Incompleto";3176;FALSE;"2006-2021";"2451"
2017;"Médio Completo";15373;FALSE;"2006-2021";"2451"
2017;"Superior Incompleto";1027;FALSE;"2006-2021";"2451"
2017;"Superior Completo";6266;FALSE;"2006-2021";"2451"
2016;"Total";41004;TRUE;"2006-2021";"2451"
2016;"Analfabeto";85;FALSE;"2006-2021";"2451"
2016;"Até 5ª Incompleto";1353;FALSE;"2006-2021";"2451"
2016;"5ª Completo Fundamental";1831;FALSE;"2006-2021";"2451"
2016;"6ª a 9ª Fundamental";3686;FALSE;"2006-2021";"2451"
2016;"Fundamental Completo";9263;FALSE;"2006-2021";"2451"
2016;"Médio Incompleto";3547;FALSE;"2006-2021";"2451"
2016;"Médio Completo";16742;FALSE;"2006-2021";"2451"
2016;"Superior Incompleto";1070;FALSE;"2006-2021";"2451"
2016;"Superior Completo";3427;FALSE;"2006-2021";"2451"
2015;"Total";43541;TRUE;"2006-2021";"2451"
2015;"Analfabeto";91;FALSE;"2006-2021";"2451"
2015;"Até 5ª Incompleto";1505;FALSE;"2006-2021";"2451"
2015;"5ª Completo Fundamental";2057;FALSE;"2006-2021";"2451"
2015;"6ª a 9ª Fundamental";4166;FALSE;"2006-2021";"2451"
2015;"Fundamental Completo";9980;FALSE;"2006-2021";"2451"
2015;"Médio Incompleto";3917;FALSE;"2006-2021";"2451"
2015;"Médio Completo";17063;FALSE;"2006-2021";"2451"
2015;"Superior Incompleto";1247;FALSE;"2006-2021";"2451"
2015;"Superior Completo";3515;FALSE;"2006-2021";"2451"
2014;"Total";50809;TRUE;"2006-2021";"2451"
2014;"Analfabeto";125;FALSE;"2006-2021";"2451"
2014;"Até 5ª Incompleto";1868;FALSE;"2006-2021";"2451"
2014;"5ª Completo Fundamental";2690;FALSE;"2006-2021";"2451"
2014;"6ª a 9ª Fundamental";5097;FALSE;"2006-2021";"2451"
2014;"Fundamental Completo";12029;FALSE;"2006-2021";"2451"
2014;"Médio Incompleto";4944;FALSE;"2006-2021";"2451"
2014;"Médio Completo";19049;FALSE;"2006-2021";"2451"
2014;"Superior Incompleto";1347;FALSE;"2006-2021";"2451"
2014;"Superior Completo";3660;FALSE;"2006-2021";"2451"
2013;"Total";54844;TRUE;"2006-2021";"2451"
2013;"Analfabeto";138;FALSE;"2006-2021";"2451"
2013;"Até 5ª Incompleto";2063;FALSE;"2006-2021";"2451"
2013;"5ª Completo Fundamental";3200;FALSE;"2006-2021";"2451"
2013;"6ª a 9ª Fundamental";6309;FALSE;"2006-2021";"2451"
2013;"Fundamental Completo";9444;FALSE;"2006-2021";"2451"
2013;"Médio Incompleto";4751;FALSE;"2006-2021";"2451"
2013;"Médio Completo";23938;FALSE;"2006-2021";"2451"
2013;"Superior Incompleto";1476;FALSE;"2006-2021";"2451"
2013;"Superior Completo";3525;FALSE;"2006-2021";"2451"
2012;"Total";53814;TRUE;"2006-2021";"2451"
2012;"Analfabeto";123;FALSE;"2006-2021";"2451"
2012;"Até 5ª Incompleto";1911;FALSE;"2006-2021";"2451"
2012;"5ª Completo Fundamental";3191;FALSE;"2006-2021";"2451"
2012;"6ª a 9ª Fundamental";6593;FALSE;"2006-2021";"2451"
2012;"Fundamental Completo";9381;FALSE;"2006-2021";"2451"
2012;"Médio Incompleto";4816;FALSE;"2006-2021";"2451"
2012;"Médio Completo";23061;FALSE;"2006-2021";"2451"
2012;"Superior Incompleto";1549;FALSE;"2006-2021";"2451"
2012;"Superior Completo";3189;FALSE;"2006-2021";"2451"
2011;"Total";59821;TRUE;"2006-2021";"2451"
2011;"Analfabeto";132;FALSE;"2006-2021";"2451"
2011;"Até 5ª Incompleto";2053;FALSE;"2006-2021";"2451"
2011;"5ª Completo Fundamental";3548;FALSE;"2006-2021";"2451"
2011;"6ª a 9ª Fundamental";7467;FALSE;"2006-2021";"2451"
2011;"Fundamental Completo";11061;FALSE;"2006-2021";"2451"
2011;"Médio Incompleto";5560;FALSE;"2006-2021";"2451"
2011;"Médio Completo";25105;FALSE;"2006-2021";"2451"
2011;"Superior Incompleto";1663;FALSE;"2006-2021";"2451"
2011;"Superior Completo";3232;FALSE;"2006-2021";"2451"
2010;"Total";58126;TRUE;"2006-2021";"2451"
2010;"Analfabeto";144;FALSE;"2006-2021";"2451"
2010;"Até 5ª Incompleto";1950;FALSE;"2006-2021";"2451"
2010;"5ª Completo Fundamental";3710;FALSE;"2006-2021";"2451"
2010;"6ª a 9ª Fundamental";7746;FALSE;"2006-2021";"2451"
2010;"Fundamental Completo";11167;FALSE;"2006-2021";"2451"
2010;"Médio Incompleto";5362;FALSE;"2006-2021";"2451"
2010;"Médio Completo";23077;FALSE;"2006-2021";"2451"
2010;"Superior Incompleto";1865;FALSE;"2006-2021";"2451"
2010;"Superior Completo";3105;FALSE;"2006-2021";"2451"
2009;"Total";50444;TRUE;"2006-2021";"2451"
2009;"Analfabeto";115;FALSE;"2006-2021";"2451"
2009;"Até 5ª Incompleto";1573;FALSE;"2006-2021";"2451"
2009;"5ª Completo Fundamental";3853;FALSE;"2006-2021";"2451"
2009;"6ª a 9ª Fundamental";7134;FALSE;"2006-2021";"2451"
2009;"Fundamental Completo";10336;FALSE;"2006-2021";"2451"
2009;"Médio Incompleto";4336;FALSE;"2006-2021";"2451"
2009;"Médio Completo";18609;FALSE;"2006-2021";"2451"
2009;"Superior Incompleto";1796;FALSE;"2006-2021";"2451"
2009;"Superior Completo";2692;FALSE;"2006-2021";"2451"
2008;"Total";60811;TRUE;"2006-2021";"2451"
2008;"Analfabeto";137;FALSE;"2006-2021";"2451"
2008;"Até 5ª Incompleto";1922;FALSE;"2006-2021";"2451"
2008;"5ª Completo Fundamental";4810;FALSE;"2006-2021";"2451"
2008;"6ª a 9ª Fundamental";8788;FALSE;"2006-2021";"2451"
2008;"Fundamental Completo";13061;FALSE;"2006-2021";"2451"
2008;"Médio Incompleto";5480;FALSE;"2006-2021";"2451"
2008;"Médio Completo";21987;FALSE;"2006-2021";"2451"
2008;"Superior Incompleto";1944;FALSE;"2006-2021";"2451"
2008;"Superior Completo";2682;FALSE;"2006-2021";"2451"
2007;"Total";58629;TRUE;"2006-2021";"2451"
2007;"Analfabeto";143;FALSE;"2006-2021";"2451"
