Fluxo;Ano;Codigo_NCM;Descricao_NCM;Valor_US_FOB;Quilograma_Liquido
Importação;2014;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";52780660;38599840
Importação;2014;73259910;"Outras obras moldadas, de aço";9409571;1231374
Importação;2014;73259990;"Outras obras moldadas, de ferro fundido ou ferro";6013542;1557809
Exportação;2015;73251000;"Outras obras moldadas de ferro fundido, não maleável";4643727;2318851
Exportação;2015;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";1436725;1135200
Exportação;2015;73259910;"Outras obras moldadas, de aço";4510059;1297786
Exportação;2015;73259990;"Outras obras moldadas, de ferro fundido ou ferro";1942763;512601
Importação;2015;73251000;"Outras obras moldadas de ferro fundido, não maleável";2933351;559170
Importação;2015;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";45127673;35004129
Importação;2015;73259910;"Outras obras moldadas, de aço";7952478;915181
Importação;2015;73259990;"Outras obras moldadas, de ferro fundido ou ferro";7411839;4824548
Exportação;2016;73251000;"Outras obras moldadas de ferro fundido, não maleável";4610535;2463153
Exportação;2016;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";14628914;12298709
Exportação;2016;73259910;"Outras obras moldadas, de aço";2024990;322415
Exportação;2016;73259990;"Outras obras moldadas, de ferro fundido ou ferro";1800629;526152
Importação;2016;73251000;"Outras obras moldadas de ferro fundido, não maleável";1399758;359391
Importação;2016;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";41892200;40989477
Importação;2016;73259910;"Outras obras moldadas, de aço";4493739;572850
Importação;2016;73259990;"Outras obras moldadas, de ferro fundido ou ferro";5777156;3785588
Exportação;2017;73251000;"Outras obras moldadas de ferro fundido, não maleável";6154025;3705070
Exportação;2017;73259100;"Esferas e artefatos semelhantes, para moinhos, moldadas, de ferro fundido, ferro ou aço";13869235;10545972
Exportação;2017;73259910;"Outras obras moldadas, de aço";2008564;327697
Exportação;2017;73259990;"Outras obras moldadas, de ferro fundido ou ferro";3535894;881645
