"ano";"categoria";"frequencia";"is_total";"periodo_metodologico";"cnae_subclasse"
2014;"120,0 meses ou mais";10617;FALSE;"2006-2021";"2451"
2014;"{ñ class}";2;FALSE;"2006-2021";"2451"
2013;"Total";54844;TRUE;"2006-2021";"2451"
2013;"Ate 2,9 meses";3077;FALSE;"2006-2021";"2451"
2013;"3,0 a 5,9 meses";3808;FALSE;"2006-2021";"2451"
2013;"6,0 a 11,9 meses";6999;FALSE;"2006-2021";"2451"
2013;"12,0 a 23,9 meses";6648;FALSE;"2006-2021";"2451"
2013;"24,0 a 35,9 meses";5848;FALSE;"2006-2021";"2451"
2013;"36,0 a 59,9 meses";8130;FALSE;"2006-2021";"2451"
2013;"60,0 a 119,9 meses";10261;FALSE;"2006-2021";"2451"
2013;"120,0 meses ou mais";10072;FALSE;"2006-2021";"2451"
2013;"{ñ class}";1;FALSE;"2006-2021";"2451"
2012;"Total";53814;TRUE;"2006-2021";"2451"
2012;"Ate 2,9 meses";3387;FALSE;"2006-2021";"2451"
2012;"3,0 a 5,9 meses";2909;FALSE;"2006-2021";"2451"
2012;"6,0 a 11,9 meses";5391;FALSE;"2006-2021";"2451"
2012;"12,0 a 23,9 meses";8404;FALSE;"2006-2021";"2451"
2012;"24,0 a 35,9 meses";7653;FALSE;"2006-2021";"2451"
2012;"36,0 a 59,9 meses";6503;FALSE;"2006-2021";"2451"
2012;"60,0 a 119,9 meses";9974;FALSE;"2006-2021";"2451"
2012;"120,0 meses ou mais";9592;FALSE;"2006-2021";"2451"
2012;"{ñ class}";1;FALSE;"2006-2021";"2451"
2011;"Total";59821;TRUE;"2006-2021";"2451"
2011;"Ate 2,9 meses";3430;FALSE;"2006-2021";"2451"
2011;"3,0 a 5,9 meses";4421;FALSE;"2006-2021";"2451"
2011;"6,0 a 11,9 meses";8434;FALSE;"2006-2021";"2451"
2011;"12,0 a 23,9 meses";11703;FALSE;"2006-2021";"2451"
2011;"24,0 a 35,9 meses";4544;FALSE;"2006-2021";"2451"
2011;"36,0 a 59,9 meses";7494;FALSE;"2006-2021";"2451"
2011;"60,0 a 119,9 meses";10237;FALSE;"2006-2021";"2451"
2011;"120,0 meses ou mais";9553;FALSE;"2006-2021";"2451"
2011;"{ñ class}";5;FALSE;"2006-2021";"2451"
2010;"Total";58126;TRUE;"2006-2021";"2451"
2010;"Ate 2,9 meses";5328;FALSE;"2006-2021";"2451"
2010;"3,0 a 5,9 meses";4749;FALSE;"2006-2021";"2451"
2010;"6,0 a 11,9 meses";9856;FALSE;"2006-2021";"2451"
2010;"12,0 a 23,9 meses";6246;FALSE;"2006-2021";"2451"
2010;"24,0 a 35,9 meses";5622;FALSE;"2006-2021";"2451"
2010;"36,0 a 59,9 meses";6653;FALSE;"2006-2021";"2451"
2010;"60,0 a 119,9 meses";10404;FALSE;"2006-2021";"2451"
2010;"120,0 meses ou mais";9257;FALSE;"2006-2021";"2451"
2010;"{ñ class}";11;FALSE;"2006-2021";"2451"
2009;"Total";50444;TRUE;"2006-2021";"2451"
2009;"Ate 2,9 meses";4814;FALSE;"2006-2021";"2451"
2009;"3,0 a 5,9 meses";3462;FALSE;"2006-2021";"2451"
2009;"6,0 a 11,9 meses";2775;FALSE;"2006-2021";"2451"
2009;"12,0 a 23,9 meses";8121;FALSE;"2006-2021";"2451"
2009;"24,0 a 35,9 meses";5436;FALSE;"2006-2021";"2451"
2009;"36,0 a 59,9 meses";7103;FALSE;"2006-2021";"2451"
2009;"60,0 a 119,9 meses";10355;FALSE;"2006-2021";"2451"
2009;"120,0 meses ou mais";8351;FALSE;"2006-2021";"2451"
2009;"{ñ class}";27;FALSE;"2006-2021";"2451"
2008;"Total";60811;TRUE;"2006-2021";"2451"
2008;"Ate 2,9 meses";3405;FALSE;"2006-2021";"2451"
2008;"3,0 a 5,9 meses";4536;FALSE;"2006-2021";"2451"
2008;"6,0 a 11,9 meses";8220;FALSE;"2006-2021";"2451"
2008;"12,0 a 23,9 meses";9377;FALSE;"2006-2021";"2451"
2008;"24,0 a 35,9 meses";5360;FALSE;"2006-2021";"2451"
2008;"36,0 a 59,9 meses";10669;FALSE;"2006-2021";"2451"
2008;"60,0 a 119,9 meses";10490;FALSE;"2006-2021";"2451"
2008;"120,0 meses ou mais";8751;FALSE;"2006-2021";"2451"
2008;"{ñ class}";3;FALSE;"2006-2021";"2451"
2007;"Total";58629;TRUE;"2006-2021";"2451"
2007;"Ate 2,9 meses";11921;FALSE;"2006-2021";"2451"
2007;"3,0 a 5,9 meses";4079;FALSE;"2006-2021";"2451"
2007;"6,0 a 11,9 meses";6945;FALSE;"2006-2021";"2451"
2007;"12,0 a 23,9 meses";7200;FALSE;"2006-2021";"2451"
2007;"24,0 a 35,9 meses";5925;FALSE;"2006-2021";"2451"
2007;"36,0 a 59,9 meses";8739;FALSE;"2006-2021";"2451"
2007;"60,0 a 119,9 meses";7635;FALSE;"2006-2021";"2451"
2007;"120,0 meses ou mais";6180;FALSE;"2006-2021";"2451"
2007;"{ñ class}";5;FALSE;"2006-2021";"2451"
2006;"Total";52858;TRUE;"2006-2021";"2451"
2006;"Ate 2,9 meses";3082;FALSE;"2006-2021";"2451"
2006;"3,0 a 5,9 meses";3140;FALSE;"2006-2021";"2451"
2006;"6,0 a 11,9 meses";6441;FALSE;"2006-2021";"2451"
2006;"12,0 a 23,9 meses";9058;FALSE;"2006-2021";"2451"
2006;"24,0 a 35,9 meses";7327;FALSE;"2006-2021";"2451"
2006;"36,0 a 59,9 meses";7426;FALSE;"2006-2021";"2451"
2006;"60,0 a 119,9 meses";9390;FALSE;"2006-2021";"2451"
