"ano";"categoria";"frequencia";"vl_remun_dezembro_nom";"is_total";"periodo_metodologico";"cnae_subclasse";"remuneracao_media_nominal"
2019;"23 - Ceará";477;778903,180000018;FALSE;"2006-2021";"2451";1632,9207127883
2019;"24 - Rio Grande do Norte";9;14932,620000001;FALSE;"2006-2021";"2451";1659,18000000011
2019;"25 - Paraíba";22;28085,799999997;FALSE;"2006-2021";"2451";1276,62727272714
2019;"26 - Pernambuco";215;659728,499999965;FALSE;"2006-2021";"2451";3068,50465116263
2019;"27 - Alagoas";38;60238,0500000063;FALSE;"2006-2021";"2451";1585,21184210543
2019;"28 - Sergipe";1;1031,26999999955;FALSE;"2006-2021";"2451";1031,26999999955
2019;"29 - Bahia";64;164746,600000007;FALSE;"2006-2021";"2451";2574,16562500011
2019;"31 - Minas Gerais";9785;27766740,0699999;FALSE;"2006-2021";"2451";2837,68421768011
2019;"32 - Espírito Santo";83;199571,649999994;FALSE;"2006-2021";"2451";2404,4777108433
2019;"33 - Rio de Janeiro";378;454855,109999998;FALSE;"2006-2021";"2451";1203,32039682539
2019;"35 - São Paulo";8544;30595958,76;FALSE;"2006-2021";"2451";3580,98768258427
2019;"41 - Paraná";1295;3630030,17;FALSE;"2006-2021";"2451";2803,1121003861
2019;"42 - Santa Catarina";15106;50675389,5700003;FALSE;"2006-2021";"2451";3354,65308950088
2019;"43 - Rio Grande do Sul";3880;10465269,0000001;FALSE;"2006-2021";"2451";2697,23427835054
2019;"50 - Mato Grosso do Sul";44;94376,1200000038;FALSE;"2006-2021";"2451";2144,9118181819
2019;"51 - Mato Grosso";14;20871,7199999988;FALSE;"2006-2021";"2451";1490,83714285706
2019;"52 - Goiás";26;49689,4800000023;FALSE;"2006-2021";"2451";1911,13384615393
2019;"53 - Distrito Federal";5;6357,48000000138;FALSE;"2006-2021";"2451";1271,49600000028
2018;"Total";44365;137878105,59;TRUE;"2006-2021";"2451";3107,81259078102
2018;"11 - Rondônia";49;102206,510000004;FALSE;"2006-2021";"2451";2085,84714285722
2018;"12 - Acre";4;6376,75;FALSE;"2006-2021";"2451";1594,1875
2018;"13 - Amazonas";0;0;FALSE;"2006-2021";"2451";NA
2018;"15 - Pará";52;78497,699999996;FALSE;"2006-2021";"2451";1509,57115384608
2018;"21 - Maranhão";18;22957,9799999986;FALSE;"2006-2021";"2451";1275,44333333326
2018;"22 - Piauí";14;14910,1999999993;FALSE;"2006-2021";"2451";1065,01428571424
2018;"23 - Ceará";186;366559,689999993;FALSE;"2006-2021";"2451";1970,75102150534
2018;"24 - Rio Grande do Norte";9;12483,7199999969;FALSE;"2006-2021";"2451";1387,07999999966
2018;"25 - Paraíba";26;29890,7200000081;FALSE;"2006-2021";"2451";1149,64307692339
2018;"26 - Pernambuco";321;1139468,95000003;FALSE;"2006-2021";"2451";3549,74750778826
2018;"27 - Alagoas";44;70721,4700000044;FALSE;"2006-2021";"2451";1607,30613636374
