"ano";"categoria";"cnae_subclasse";"is_total";"periodo_metodologico";"frequencia"
2006;"ADMINISTRADORES DE EMPRESAS";"2452";FALSE;"2006-2021";21
2006;"ADVOGADOS";"2452";FALSE;"2006-2021";3
2006;"AFIADORES E POLIDORES DE METAIS";"2452";FALSE;"2006-2021";527
2006;"AGENTES DA SAUDE E DO MEIO AMBIENTE";"2452";FALSE;"2006-2021";2
2006;"AGENTES DE INSPECAO DE PESOS E MEDIDAS";"2452";FALSE;"2006-2021";30
2006;"AJUDANTES DE OBRAS CIVIS";"2452";FALSE;"2006-2021";118
2006;"AJUSTADORES MECANICOS POLIVALENTES";"2452";FALSE;"2006-2021";191
2006;"ALIMENTADORES DE LINHAS DE PRODUCAO";"2452";FALSE;"2006-2021";2026
2006;"ALMOXARIFES E ARMAZENISTAS";"2452";FALSE;"2006-2021";187
2006;"ANALISTAS DE SISTEMAS COMPUTACIONAIS";"2452";FALSE;"2006-2021";28
2006;"ARTESAOS DE METAIS PRECIOSOS E SEMI-PRECIOSOS";"2452";FALSE;"2006-2021";11
2006;"AUDITORES FISCAIS DO TRABALHO";"2452";FALSE;"2006-2021";0
2006;"AUXILIARES DE LABORATORIO DA SAUDE";"2452";FALSE;"2006-2021";5
2006;"BOMBEIROS E SALVA-VIDAS";"2452";FALSE;"2006-2021";0
2006;"CAIXAS E BILHETEIROS (EXCETO CAIXA DE BANCO)";"2452";FALSE;"2006-2021";0
2006;"CARVOEJADORES E AFINS";"2452";FALSE;"2006-2021";1
2006;"CATADORES DE SUCATA";"2452";FALSE;"2006-2021";141
2006;"CERAMISTAS (PREPARACAO E FABRICACAO)";"2452";FALSE;"2006-2021";2
2006;"COBRADORES E AFINS";"2452";FALSE;"2006-2021";3
2006;"COLORISTAS";"2452";FALSE;"2006-2021";57
2006;"COMPRADORES";"2452";FALSE;"2006-2021";67
2006;"CONFECCIONADORES DE ARTEFATOS DE MADEIRA, MOVEIS DE VIME E AFINS";"2452";FALSE;"2006-2021";21
2006;"CONSERVADORES DE VIAS PERMANENTES (TRILHOS)";"2452";FALSE;"2006-2021";0
2006;"CONTADORES E AUDITORES";"2452";FALSE;"2006-2021";54
