"Competencia";"is_total";"Tipo_Movimentacao";"cnae_subclasse";"Quantidade"
"Jul/2019";FALSE;"Admissão por primeiro emprego";"2451";421
"Jul/2019";FALSE;"Admissão por primeiro emprego";"2452";26
"Jul/2019";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2451";662
"Jul/2019";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2452";315
"Jul/2019";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2451";798
"Jul/2019";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2452";233
"Jul/2019";FALSE;"Desligamento por demissão com justa causa";"2451";36
"Jul/2019";FALSE;"Desligamento por demissão com justa causa";"2452";4
"Jul/2019";FALSE;"Desligamento a pedido";"2451";206
"Jul/2019";FALSE;"Desligamento a pedido";"2452";51
"Jul/2019";FALSE;"Desligamento por morte";"2451";3
"Jul/2019";FALSE;"Desligamento por morte";"2452";1
"Jul/2019";FALSE;"Desligamento por acordo empregado e empregador";"2451";15
"Jul/2019";FALSE;"Desligamento por acordo empregado e empregador";"2452";3
"Jun/2019";FALSE;"Admissão por primeiro emprego";"2451";186
"Jun/2019";FALSE;"Admissão por primeiro emprego";"2452";5
"Jun/2019";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2451";594
"Jun/2019";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2452";216
"Jun/2019";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2451";632
"Jun/2019";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2452";238
"Jun/2019";FALSE;"Desligamento por demissão com justa causa";"2451";39
"Jun/2019";FALSE;"Desligamento por demissão com justa causa";"2452";3
"Jun/2019";FALSE;"Desligamento a pedido";"2451";182
"Jun/2019";FALSE;"Desligamento a pedido";"2452";52
"Jun/2019";FALSE;"Desligamento por morte";"2451";4
"Jun/2019";FALSE;"Desligamento por morte";"2452";1
"Jun/2019";FALSE;"Desligamento por acordo empregado e empregador";"2451";18
"Jun/2019";FALSE;"Desligamento por acordo empregado e empregador";"2452";3
