"ano";"cnae_subclasse";"numero_empresas_estrato_certo";"pessoal_ocupado";"custos_despesas_totais";"gastos_pessoal_total";"receita_liquida_total";"custos_operacoes_industriais";"vbpi";"vti"
2024;"2451";149;18427;6419569;1554424;6800719;3341793;6636504;3294711
2024;"2452";62;5168;3587935;389657;3408328;2522751;3414732;891981
