"Ano";"UF";"Estabelecimentos";"Vinculos"
2015;"32 - Espírito Santo";0;0
2015;"33 - Rio de Janeiro";8;360
2015;"35 - São Paulo";48;3290
2015;"41 - Paraná";8;2547
2015;"42 - Santa Catarina";5;284
2015;"43 - Rio Grande do Sul";5;349
2015;"50 - Mato Grosso do Sul";0;0
2015;"52 - Goiás";1;33
2015;"Total";90;9138
2016;"13 - Amazonas";1;432
2016;"22 - Piauí";0;0
2016;"23 - Ceará";2;71
2016;"26 - Pernambuco";0;0
2016;"27 - Alagoas";0;0
2016;"31 - Minas Gerais";11;1495
2016;"32 - Espírito Santo";0;0
2016;"33 - Rio de Janeiro";5;237
2016;"35 - São Paulo";39;3016
2016;"41 - Paraná";7;2506
2016;"42 - Santa Catarina";4;237
2016;"43 - Rio Grande do Sul";5;342
2016;"50 - Mato Grosso do Sul";0;0
2016;"52 - Goiás";1;34
2016;"Total";75;8370
2017;"13 - Amazonas";1;440
2017;"23 - Ceará";1;34
2017;"26 - Pernambuco";0;0
2017;"27 - Alagoas";0;0
2017;"28 - Sergipe";1;40
2017;"31 - Minas Gerais";11;1498
2017;"32 - Espírito Santo";0;0
2017;"33 - Rio de Janeiro";5;253
2017;"35 - São Paulo";40;3058
2017;"41 - Paraná";6;2326
2017;"42 - Santa Catarina";5;262
2017;"43 - Rio Grande do Sul";6;377
2017;"52 - Goiás";1;31
2017;"Total";77;8319
2018;"13 - Amazonas";1;470
2018;"23 - Ceará";2;67
2018;"26 - Pernambuco";0;0
2018;"27 - Alagoas";0;0
2018;"31 - Minas Gerais";15;1832
2018;"32 - Espírito Santo";0;0
2018;"33 - Rio de Janeiro";4;189
2018;"35 - São Paulo";40;3185
2018;"41 - Paraná";8;2530
2018;"42 - Santa Catarina";6;302
2018;"43 - Rio Grande do Sul";3;278
2018;"52 - Goiás";1;34
2018;"Total";80;8887
2019;"13 - Amazonas";1;502
2019;"23 - Ceará";0;0
2019;"26 - Pernambuco";0;0
2019;"27 - Alagoas";0;0
2019;"31 - Minas Gerais";12;1783
2019;"32 - Espírito Santo";0;0
2019;"33 - Rio de Janeiro";4;212
2019;"35 - São Paulo";44;3437
2019;"41 - Paraná";7;673
2019;"42 - Santa Catarina";7;387
2019;"43 - Rio Grande do Sul";4;294
2019;"50 - Mato Grosso do Sul";1;30
2019;"52 - Goiás";1;37
2019;"Total";81;7355
2020;"13 - Amazonas";1;431
2020;"23 - Ceará";1;61
2020;"26 - Pernambuco";0;0
2020;"27 - Alagoas";0;0
2020;"31 - Minas Gerais";12;1580
2020;"32 - Espírito Santo";0;0
2020;"33 - Rio de Janeiro";4;195
2020;"35 - São Paulo";54;3771
2020;"41 - Paraná";7;709
2020;"42 - Santa Catarina";11;514
2020;"43 - Rio Grande do Sul";3;250
2020;"52 - Goiás";1;46
2020;"Total";94;7557
2021;"13 - Amazonas";1;410
2021;"23 - Ceará";1;69
2021;"26 - Pernambuco";1;33
2021;"27 - Alagoas";0;0
2021;"31 - Minas Gerais";13;2614
2021;"32 - Espírito Santo";0;0
2021;"33 - Rio de Janeiro";4;220
2021;"35 - São Paulo";53;3979
2021;"41 - Paraná";5;598
2021;"42 - Santa Catarina";10;458
2021;"43 - Rio Grande do Sul";3;247
2021;"50 - Mato Grosso do Sul";1;30
2021;"52 - Goiás";1;52
2021;"Total";93;8710
2022;"13 - Amazonas";1;521
2022;"23 - Ceará";1;67
2022;"26 - Pernambuco";1;35
2022;"27 - Alagoas";0;0
2022;"31 - Minas Gerais";13;2759
2022;"32 - Espírito Santo";0;0
2022;"33 - Rio de Janeiro";6;341
2022;"35 - São Paulo";55;4323
2022;"41 - Paraná";4;620
2022;"42 - Santa Catarina";10;531
2022;"43 - Rio Grande do Sul";3;290
2022;"50 - Mato Grosso do Sul";1;37
2022;"52 - Goiás";1;58
2022;"Total";96;9582
2023;"13 - Amazonas";1;510
2023;"23 - Ceará";0;0
2023;"27 - Alagoas";0;0
2023;"29 - Bahia";0;0
2023;"31 - Minas Gerais";14;2921
2023;"32 - Espírito Santo";0;0
2023;"33 - Rio de Janeiro";6;380
2023;"35 - São Paulo";50;4006
2023;"41 - Paraná";3;185
2023;"42 - Santa Catarina";10;572
2023;"43 - Rio Grande do Sul";3;295
2023;"52 - Goiás";1;66
2023;"Total";88;8935
2024;"13 - Amazonas";1;526
2024;"21 - Maranhão";0;0
2024;"23 - Ceará";0;0
2024;"26 - Pernambuco";1;41
2024;"27 - Alagoas";0;0
2024;"29 - Bahia";0;0
2024;"31 - Minas Gerais";16;3610
2024;"32 - Espírito Santo";0;0
2024;"33 - Rio de Janeiro";5;318
2024;"35 - São Paulo";53;4457
2024;"41 - Paraná";3;121
2024;"42 - Santa Catarina";11;588
2024;"43 - Rio Grande do Sul";3;322
2024;"52 - Goiás";1;77
2024;"Total";94;10060
2025;"13 - Amazonas";1;553
2025;"23 - Ceará";0;0
2025;"26 - Pernambuco";1;30
2025;"27 - Alagoas";0;0
2025;"29 - Bahia";0;0
2025;"31 - Minas Gerais";15;3985
2025;"32 - Espírito Santo";0;0
2025;"33 - Rio de Janeiro";5;316
2025;"35 - São Paulo";52;4377
2025;"41 - Paraná";3;176
2025;"42 - Santa Catarina";10;557
2025;"43 - Rio Grande do Sul";3;321
2025;"52 - Goiás";1;90
2025;"Total";91;10405
