"ano";"categoria";"frequencia";"is_total";"periodo_metodologico";"cnae_subclasse"
2021;"Total";12444;TRUE;"2006-2021";"2452"
2021;"Ate 2,9 meses";785;FALSE;"2006-2021";"2452"
2021;"3,0 a 5,9 meses";960;FALSE;"2006-2021";"2452"
2021;"6,0 a 11,9 meses";1995;FALSE;"2006-2021";"2452"
2021;"12,0 a 23,9 meses";2002;FALSE;"2006-2021";"2452"
2021;"24,0 a 35,9 meses";1186;FALSE;"2006-2021";"2452"
2021;"36,0 a 59,9 meses";1800;FALSE;"2006-2021";"2452"
2021;"60,0 a 119,9 meses";1744;FALSE;"2006-2021";"2452"
2021;"120,0 meses ou mais";1965;FALSE;"2006-2021";"2452"
2021;"{ñ class}";7;FALSE;"2006-2021";"2452"
2020;"Total";11238;TRUE;"2006-2021";"2452"
2020;"Ate 2,9 meses";1118;FALSE;"2006-2021";"2452"
2020;"3,0 a 5,9 meses";927;FALSE;"2006-2021";"2452"
2020;"6,0 a 11,9 meses";795;FALSE;"2006-2021";"2452"
2020;"12,0 a 23,9 meses";1700;FALSE;"2006-2021";"2452"
2020;"24,0 a 35,9 meses";1412;FALSE;"2006-2021";"2452"
2020;"36,0 a 59,9 meses";1621;FALSE;"2006-2021";"2452"
2020;"60,0 a 119,9 meses";1765;FALSE;"2006-2021";"2452"
2020;"120,0 meses ou mais";1891;FALSE;"2006-2021";"2452"
2020;"{ñ class}";9;FALSE;"2006-2021";"2452"
2019;"Total";11331;TRUE;"2006-2021";"2452"
2019;"Ate 2,9 meses";640;FALSE;"2006-2021";"2452"
2019;"3,0 a 5,9 meses";760;FALSE;"2006-2021";"2452"
2019;"6,0 a 11,9 meses";1326;FALSE;"2006-2021";"2452"
2019;"12,0 a 23,9 meses";1996;FALSE;"2006-2021";"2452"
2019;"24,0 a 35,9 meses";1204;FALSE;"2006-2021";"2452"
2019;"36,0 a 59,9 meses";1408;FALSE;"2006-2021";"2452"
2019;"60,0 a 119,9 meses";2049;FALSE;"2006-2021";"2452"
2019;"120,0 meses ou mais";1947;FALSE;"2006-2021";"2452"
2019;"{ñ class}";1;FALSE;"2006-2021";"2452"
2018;"Total";12941;TRUE;"2006-2021";"2452"
2018;"Ate 2,9 meses";712;FALSE;"2006-2021";"2452"
2018;"3,0 a 5,9 meses";896;FALSE;"2006-2021";"2452"
2018;"6,0 a 11,9 meses";1845;FALSE;"2006-2021";"2452"
2018;"12,0 a 23,9 meses";1888;FALSE;"2006-2021";"2452"
2018;"24,0 a 35,9 meses";1253;FALSE;"2006-2021";"2452"
2018;"36,0 a 59,9 meses";1432;FALSE;"2006-2021";"2452"
2018;"60,0 a 119,9 meses";2664;FALSE;"2006-2021";"2452"
2018;"120,0 meses ou mais";2250;FALSE;"2006-2021";"2452"
2018;"{ñ class}";1;FALSE;"2006-2021";"2452"
2017;"Total";12730;TRUE;"2006-2021";"2452"
2017;"Ate 2,9 meses";657;FALSE;"2006-2021";"2452"
2017;"3,0 a 5,9 meses";869;FALSE;"2006-2021";"2452"
2017;"6,0 a 11,9 meses";1460;FALSE;"2006-2021";"2452"
2017;"12,0 a 23,9 meses";1769;FALSE;"2006-2021";"2452"
2017;"24,0 a 35,9 meses";1055;FALSE;"2006-2021";"2452"
2017;"36,0 a 59,9 meses";1832;FALSE;"2006-2021";"2452"
2017;"60,0 a 119,9 meses";2819;FALSE;"2006-2021";"2452"
2017;"120,0 meses ou mais";2265;FALSE;"2006-2021";"2452"
2017;"{ñ class}";4;FALSE;"2006-2021";"2452"
2016;"Total";13031;TRUE;"2006-2021";"2452"
2016;"Ate 2,9 meses";669;FALSE;"2006-2021";"2452"
2016;"3,0 a 5,9 meses";810;FALSE;"2006-2021";"2452"
