"Fluxo";"Ano";"Pais";"UF_Produto";"Valor_US_FOB";"Quilograma_Liquido";"cnae_subclasse"
"Exportação";2026;"França";"Rio de Janeiro";4953213;1125768;"2451"
"Exportação";2026;"Estados Unidos";"São Paulo";1958057;64767;"2451"
"Exportação";2026;"Emirados Árabes Unidos";"Santa Catarina";1416739;318309;"2451"
"Exportação";2026;"Guiana";"Rio de Janeiro";1360205;76535;"2451"
"Exportação";2026;"Estados Unidos";"Rio de Janeiro";966567;33902;"2451"
"Exportação";2026;"Bolívia";"Santa Catarina";915764;148557;"2451"
"Exportação";2026;"Reino Unido";"Rio de Janeiro";898588;328572;"2451"
"Exportação";2026;"Paraguai";"Santa Catarina";830860;89315;"2451"
"Exportação";2026;"Peru";"Rio de Janeiro";819038;882939;"2451"
"Exportação";2026;"Argentina";"São Paulo";780232;58129;"2451"
"Exportação";2026;"Estados Unidos";"Minas Gerais";688796;103851;"2451"
"Exportação";2026;"Israel";"Rio de Janeiro";638980;43792;"2451"
"Exportação";2026;"Colômbia";"Rio de Janeiro";536599;19511;"2451"
"Exportação";2026;"Paraguai";"São Paulo";501983;53392;"2451"
"Exportação";2026;"Singapura";"Espírito Santo";492863;22582;"2451"
"Exportação";2026;"Emirados Árabes Unidos";"Minas Gerais";480107;7617;"2451"
"Exportação";2026;"Chile";"São Paulo";430854;14909;"2451"
"Exportação";2026;"Argélia";"Santa Catarina";401285;105107;"2451"
"Exportação";2026;"Canadá";"São Paulo";388240;26267;"2451"
"Exportação";2026;"Singapura";"Rio de Janeiro";377126;15829;"2451"
"Exportação";2026;"Países Baixos (Holanda)";"Santa Catarina";359086;63636;"2451"
"Exportação";2026;"Espanha";"Bahia";346260;127;"2451"
"Exportação";2026;"Polônia";"Santa Catarina";341516;82319;"2451"
"Exportação";2026;"Argentina";"Rio de Janeiro";333192;220475;"2451"
"Exportação";2026;"Uruguai";"Santa Catarina";292872;41467;"2451"
"Exportação";2026;"Colômbia";"São Paulo";261193;10887;"2451"
"Exportação";2026;"Uruguai";"São Paulo";226156;7968;"2451"
"Exportação";2026;"Chile";"Rio de Janeiro";224653;74611;"2451"
"Exportação";2026;"Peru";"São Paulo";223536;3809;"2451"
"Exportação";2026;"Paraguai";"Paraná";198894;20196;"2451"
"Exportação";2026;"Paraguai";"Rio Grande do Sul";182194;55020;"2451"
"Exportação";2026;"Catar";"Minas Gerais";152769;3720;"2451"
"Exportação";2026;"Itália";"Santa Catarina";144994;29164;"2451"
"Exportação";2026;"México";"São Paulo";143365;7136;"2451"
"Exportação";2026;"Arábia Saudita";"Minas Gerais";141423;765;"2451"
"Exportação";2026;"França";"São Paulo";135592;962;"2451"
"Exportação";2026;"Bolívia";"São Paulo";123963;8701;"2451"
"Exportação";2026;"China";"São Paulo";113113;3002;"2451"
"Exportação";2026;"Guiana";"São Paulo";108065;6888;"2451"
"Exportação";2026;"Canadá";"Rio de Janeiro";106064;60;"2451"
"Exportação";2026;"África do Sul";"São Paulo";100259;1168;"2451"
"Exportação";2026;"Alemanha";"São Paulo";98501;2166;"2451"
"Exportação";2026;"Egito";"Minas Gerais";98341;2655;"2451"
"Exportação";2026;"Índia";"São Paulo";89923;1760;"2451"
"Exportação";2026;"Portugal";"São Paulo";85556;2141;"2451"
"Exportação";2026;"Angola";"São Paulo";85078;3453;"2451"
"Exportação";2026;"Argentina";"Rio Grande do Sul";83727;4029;"2451"
"Exportação";2026;"Noruega";"Paraná";81501;949;"2451"
"Exportação";2026;"Singapura";"São Paulo";74133;1442;"2451"
"Exportação";2026;"Espanha";"São Paulo";73181;806;"2451"
"Exportação";2026;"Uruguai";"Rio Grande do Sul";73029;12542;"2451"
"Exportação";2026;"Jamaica";"Rio de Janeiro";70611;18131;"2451"
"Exportação";2026;"Equador";"São Paulo";69218;237;"2451"
"Exportação";2026;"Panamá";"Rio de Janeiro";66390;0;"2451"
"Exportação";2026;"Marrocos";"Minas Gerais";65580;1901;"2451"
"Exportação";2026;"Chile";"Santa Catarina";64111;10091;"2451"
"Exportação";2026;"Estados Unidos";"Rio Grande do Sul";63387;2025;"2451"
"Exportação";2026;"França";"Espírito Santo";62479;1986;"2451"
"Exportação";2026;"Argentina";"Minas Gerais";61495;2737;"2451"
"Exportação";2026;"Emirados Árabes Unidos";"São Paulo";59146;2156;"2451"
"Exportação";2026;"Países Baixos (Holanda)";"Rio de Janeiro";58717;15486;"2451"
"Exportação";2026;"França";"Santa Catarina";56188;11107;"2451"
"Exportação";2026;"México";"Rio de Janeiro";50497;138;"2451"
